,title,artist,duration_ms,explicit,popularity,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_href,analysis_url
6219,Love On Top,Beyoncé,267413,False,73,spotify:track:1z6WtY7X4HQJvzxC4UgkSf,0.652,0.748,0,-5.242,1,0.0887,0.0849,0.0,0.604,0.652,94.1,https://api.spotify.com/v1/tracks/1z6WtY7X4HQJvzxC4UgkSf,https://api.spotify.com/v1/audio-analysis/1z6WtY7X4HQJvzxC4UgkSf
6220,Love You Like That,Canaan Smith,203053,False,62,spotify:track:2QVzUws1l5mzZ4v46tGHrC,0.559,0.766,11,-5.056,1,0.0295,0.0107,6.98e-05,0.194,0.723,145.26,https://api.spotify.com/v1/tracks/2QVzUws1l5mzZ4v46tGHrC,https://api.spotify.com/v1/audio-analysis/2QVzUws1l5mzZ4v46tGHrC
6221,Sunset Lover,Petit Biscuit,237792,False,70,spotify:track:0hNduWmlWmEmuwEFcYvRu1,0.783,0.467,6,-9.474,1,0.0503,0.729,0.809,0.109,0.236,90.838,https://api.spotify.com/v1/tracks/0hNduWmlWmEmuwEFcYvRu1,https://api.spotify.com/v1/audio-analysis/0hNduWmlWmEmuwEFcYvRu1
6222,In the Name of Love,Martin Garrix,195706,False,75,spotify:track:23L5CiUhw2jV1OIMwthR3S,0.501,0.519,4,-5.88,0,0.0409,0.109,0.0,0.454,0.168,133.99,https://api.spotify.com/v1/tracks/23L5CiUhw2jV1OIMwthR3S,https://api.spotify.com/v1/audio-analysis/23L5CiUhw2jV1OIMwthR3S
6223,Let Me Love You (feat. Chris Crone),SJUR,208886,False,52,spotify:track:2jfCy43LsFbCQoB6HyetlY,0.462,0.83,8,-4.089,0,0.0673,0.123,0.0,0.0726,0.557,105.058,https://api.spotify.com/v1/tracks/2jfCy43LsFbCQoB6HyetlY,https://api.spotify.com/v1/audio-analysis/2jfCy43LsFbCQoB6HyetlY
6224,Love Me Now,John Legend,210306,False,53,spotify:track:6hdkw1wzhIRYPlYDUtCY5m,0.416,0.773,8,-3.784,1,0.0949,0.572,0.0,0.105,0.716,122.65,https://api.spotify.com/v1/tracks/6hdkw1wzhIRYPlYDUtCY5m,https://api.spotify.com/v1/audio-analysis/6hdkw1wzhIRYPlYDUtCY5m
6225,True Love,DiRTY RADiO,219576,False,27,spotify:track:7q02j5zwOqQOXm21IaPMlY,0.761,0.658,7,-5.916,0,0.0396,0.00883,0.0,0.0948,0.392,123.938,https://api.spotify.com/v1/tracks/7q02j5zwOqQOXm21IaPMlY,https://api.spotify.com/v1/audio-analysis/7q02j5zwOqQOXm21IaPMlY
6226,Make Love,Gucci Mane,302057,True,42,spotify:track:2KlDzyTJVmOlH1sVTuPcSF,0.971,0.548,11,-6.82,1,0.154,0.00529,0.00155,0.11,0.183,129.994,https://api.spotify.com/v1/tracks/2KlDzyTJVmOlH1sVTuPcSF,https://api.spotify.com/v1/audio-analysis/2KlDzyTJVmOlH1sVTuPcSF
6227,Make Love,Gucci Mane,301386,False,16,spotify:track:6LyAkwGteRnxGwS0njUzTi,0.971,0.541,11,-7.012,1,0.131,0.00561,0.00364,0.11,0.192,129.986,https://api.spotify.com/v1/tracks/6LyAkwGteRnxGwS0njUzTi,https://api.spotify.com/v1/audio-analysis/6LyAkwGteRnxGwS0njUzTi
6228,Who Do You Love,Marianas Trench,232099,True,54,spotify:track:5KAgd2yW7tktrKDsJhO9Fr,0.683,0.713,2,-7.511,1,0.0535,0.122,0.0,0.224,0.558,106.994,https://api.spotify.com/v1/tracks/5KAgd2yW7tktrKDsJhO9Fr,https://api.spotify.com/v1/audio-analysis/5KAgd2yW7tktrKDsJhO9Fr
6229,Sooner Or Later,Aaron Carter,212564,False,35,spotify:track:6wV12xIUb8oFY7lBy4KuQe,0.737,0.729,5,-6.817,0,0.0354,0.127,2.16e-05,0.077,0.436,111.937,https://api.spotify.com/v1/tracks/6wV12xIUb8oFY7lBy4KuQe,https://api.spotify.com/v1/audio-analysis/6wV12xIUb8oFY7lBy4KuQe
6230,"i hate u, i love u (feat. olivia o'brien)",Garrett Nash,251033,True,76,spotify:track:7vRriwrloYVaoAe3a9wJHe,0.492,0.275,6,-13.4,0,0.3,0.687,0.0,0.101,0.18,92.6,https://api.spotify.com/v1/tracks/7vRriwrloYVaoAe3a9wJHe,https://api.spotify.com/v1/audio-analysis/7vRriwrloYVaoAe3a9wJHe
